title,station_library,year,num_checkouts
Monster Hunter. World,DHHILL,2023,2
Mortal kombat 11 / developed by NetherRealm Studios ; WB Games,DHHILL,2023,4
Mortal kombat 11 / developed by NetherRealm Studios ; WB Games,HUNT,2023,6
Mortal kombat X / developed by NetherRealm Studios,DHHILL,2023,3
Mortal kombat X / developed by NetherRealm Studios,HUNT,2023,1
Mushroom men. The spore wars,DHHILL,2023,1
Mushroom men. The spore wars,HUNT,2023,1
NBA 2K20,HUNT,2023,2
NBA 2K22,DHHILL,2023,3
NBA 2K22,HUNT,2023,2
NHL 16 (Video game),DHHILL,2023,1
New Super Mario Bros. Wii,HUNT,2023,1
New super Luigi U,DHHILL,2023,1
New super Luigi U,HUNT,2023,1
No straight roads / developed by Metronomik,DHHILL,2023,1
Paper Mario : the Origami King,DHHILL,2023,3
Pikuniku / created by Sectordub,DHHILL,2023,2
Pikuniku / created by Sectordub,HUNT,2023,1
Pokâemon : let's go Eevee!,DHHILL,2023,1
Pokâemon : let's go Eevee!,HUNT,2023,1
Pokâemon Sword,DHHILL,2023,9
Pokâemon Sword,HUNT,2023,2
Pokâemon legends : Arceus / Game Freak,DHHILL,2023,18
Pokâemon scarlet / Game Freak,DHHILL,2023,9
Pokâemon shield / Game Freak,DHHILL,2023,2
Pokâemon violet,DHHILL,2023,2
Pokâemon:  Let's go Pikachu!,DHHILL,2023,2
Punch-out!!,DHHILL,2023,1
Punch-out!!,HUNT,2023,1
Puyopuyo Tetris,DHHILL,2023,2
Puyopuyo Tetris,HUNT,2023,2
"Ratchet & Clank. Rift apart / created and developed by Insomniac Games, Inc",DHHILL,2023,10
"Ratchet & Clank. Rift apart / created and developed by Insomniac Games, Inc",HUNT,2023,6
Red dead redemption II,DHHILL,2023,4
Red dead redemption II,HUNT,2023,3
Resident evil 2 / CAPCOM ; Simplygon Studios ; RE Engine,DHHILL,2023,2
Rocket league / Psyonix,HUNT,2023,1
Sackboy : a big adventure / developed by Sumo Digital,DHHILL,2023,1
Sackboy : a big adventure / developed by Sumo Digital,HUNT,2023,3
"Sekiro : Shadows die twice / FromSoftware, Activision",DHHILL,2023,11
"Sekiro : Shadows die twice / FromSoftware, Activision",HUNT,2023,2
Sonic frontiers,DHHILL,2023,1
Spider-Man. Miles Morales / Insomniac Games,DHHILL,2023,4
Spider-Man. Miles Morales / Insomniac Games,HUNT,2023,5
Spider-Man: Miles Morales,HUNT,2023,1
Spider-man / Insomniac Games,DHHILL,2023,6
Spiritfarer / Thunder Lotus,DHHILL,2023,1
Splatoon 2,DHHILL,2023,5
Spyro. Reignited trilogy,DHHILL,2023,2
Star Wars Jedi: fallen order,DHHILL,2023,7
Star Wars Jedi: fallen order,HUNT,2023,2
Star Wars battlefront,DHHILL,2023,1
Stardew Valley / Fangamer,DHHILL,2023,4
Super Mario 3D all stars / Nintendo,DHHILL,2023,3
Super Mario 3D world + Bowser's fury,DHHILL,2023,3
Super Mario Maker 2,DHHILL,2023,1
Super Mario Maker 2,HUNT,2023,1
Super Mario odyssey,DHHILL,2023,4
Super Mario odyssey,HUNT,2023,9
"THE LAST OF US, PART 1",DHHILL,2023,3
"THE LAST OF US, PART 1",HUNT,2023,4
Tekken 7,DHHILL,2023,2
Tekken 7,HUNT,2023,2
The Legend of Zelda. Breath of the wild,DHHILL,2023,1
The Legend of Zelda. Breath of the wild,HUNT,2023,4
The Legend of Zelda. Link's awakening,DHHILL,2023,5
"The Witcher. III, Wild hunt / CD Projekt Red",DHHILL,2023,1
The binding of Isaac: Afterbirth+,DHHILL,2023,5
The elder scrolls V: Skyrim,DHHILL,2023,2
"The last of us remastered / Sony Computer Entertainment America ; created and developed by Naughty Dog, Inc",DHHILL,2023,2
"The last of us remastered / Sony Computer Entertainment America ; created and developed by Naughty Dog, Inc",HUNT,2023,4
"The last of us. Part II / created and developed by Naughty Dog, Inc",DHHILL,2023,4
The walking dead. Complete first season plus 400 days : a Telltale Games series,DHHILL,2023,1
Uncharted 4 : a thief's end / Naughty Dog,DHHILL,2023,3
Untitled Goose Game / by House House,DHHILL,2023,4
Watch dogs / [developed by Ubisoft Montreal],DHHILL,2023,3
Watch dogs 2 / developed and published by Ubisoft,DHHILL,2023,3
Wii play,DHHILL,2023,1
Wii play,HUNT,2023,1
Wii sports,DHHILL,2023,2
Wii sports,HUNT,2023,2
Xenoblade chronicles 2,DHHILL,2023,4
Yoshi's crafted world,HUNT,2023,3
